Gene,p_adj_val,chi_squared,high_stem_low_stem_log2FC,Rank,contrast
AC020917.3,1.0161042703433066E-186,852.0762170745074,0.005560939444637949,852.0762170745074,High_Stem_Low_Stem
STK32B,0.0,1580.9529853532658,-0.0077697999763428165,-1580.9529853532658,High_Stem_Low_Stem
RUNDC3A,4.519199317713495E-108,489.37800509553927,0.027623369916325496,489.37800509553927,High_Stem_Low_Stem
LRRC70,0.2590421542082455,1.3151949692728522,0.007565395870824716,1.3151949692728522,High_Stem_Low_Stem
REL,2.5819761021704137E-281,1288.6901235027217,-0.6719458744191581,-1288.6901235027217,High_Stem_Low_Stem
ITPRIP,2.2847692953970867E-166,758.1768140515233,-0.21430018258994088,-758.1768140515233,High_Stem_Low_Stem
CCL28,5.198732918004372E-138,627.4052662286158,0.20673791142426187,627.4052662286158,High_Stem_Low_Stem
HIST2H2AC,2.7962149644190616E-45,200.28547982677264,0.008752142995554553,200.28547982677264,High_Stem_Low_Stem
NIBAN1,3.2593198132924136E-138,628.3422961403849,-0.1832920607609633,-628.3422961403849,High_Stem_Low_Stem
IL4,0.0,1858.585524463313,-0.07763898634154685,-1858.585524463313,High_Stem_Low_Stem
PDE1A,2.871102300746887E-59,264.6372578870032,0.033863971194940015,264.6372578870032,High_Stem_Low_Stem
ERO1B,4.5965885258708714E-34,148.7665727964486,-0.11477843066657661,-148.7665727964486,High_Stem_Low_Stem
AC022710.1,3.445439925305321E-207,946.5348964327204,-0.004942114032579851,-946.5348964327204,High_Stem_Low_Stem
AC015802.4,0.0,1597.5741314051193,0.0023128478821323756,1597.5741314051193,High_Stem_Low_Stem
AL021396.1,6.084569832993785E-36,157.38762786297593,-0.01307746268296765,-157.38762786297593,High_Stem_Low_Stem
IL36RN,7.693495051384227E-14,56.263184549479774,0.004515441376016619,56.263184549479774,High_Stem_Low_Stem
SLC25A2,3.3698136170126655E-12,48.81718392926996,0.023698344608137103,48.81718392926996,High_Stem_Low_Stem
PRSS2,0.5189550693041592,0.4342959875029919,-0.001849470457542966,-0.4342959875029919,High_Stem_Low_Stem
TMEM262,2.4650425950397062E-73,329.383726885575,-0.04129931094954055,-329.383726885575,High_Stem_Low_Stem
